voyage_dates__voyage_began	CharField	"Date that voyage began DATEDEPB,A,C"
voyage_slaves_numbers__num_child_disembark_second_landing	IntegerField	Number of children gender unspecified CHILD6 disembarked at second place of landing
voyage_slaves_numbers__num_infant_disembark_second_landing	IntegerField	Number of infants INFANT6 disembarked at second place of landing
voyage_slaves_numbers__num_males_disembark_second_landing	IntegerField	Number of males age unspecified MALE6 disembarked at second place of landing
voyage_slaves_numbers__num_females_disembark_second_landing	IntegerField	Number of females age unspecified FEMALE6 disembarked at second place of landing
voyage_slaves_numbers__imp_num_adult_embarked	IntegerField	Imputed number of adults embarked ADLT1IMP
voyage_slaves_numbers__imp_num_children_embarked	IntegerField	Imputed number of adults embarked CHIL1IMP
voyage_slaves_numbers__imp_num_male_embarked	IntegerField	Imputed number of males embarked MALE1IMP
voyage_slaves_numbers__imp_num_female_embarked	IntegerField	Imputed number of females embarked FEML1IMP
voyage_slaves_numbers__total_slaves_embarked_age_identified	IntegerField	Total slaves embarked with age identified SLAVEMA1
voyage_slaves_numbers__total_slaves_embarked_gender_identified	IntegerField	Total slaves embarked with gender identified SLAVEMX1
voyage_slaves_numbers__imp_adult_death_middle_passage	IntegerField	Imputed number of adults who died on Middle Passage ADLT2IMP
voyage_slaves_numbers__imp_child_death_middle_passage	IntegerField	Imputed number of children who died on Middle Passage CHIL2IMP
voyage_slaves_numbers__imp_male_death_middle_passage	IntegerField	Imputed number of males who died on Middle Passage MALE2IMP
voyage_slaves_numbers__imp_female_death_middle_passage	IntegerField	Imputed number of females who died on Middle Passage FEML2IMP
voyage_slaves_numbers__imp_num_adult_landed	IntegerField	Imputed number of adults landed ADLT3IMP
voyage_slaves_numbers__imp_num_child_landed	IntegerField	Imputed number of children landed CHIL3IMP
voyage_slaves_numbers__imp_num_male_landed	IntegerField	Imputed number of males landed MALE3IMP
voyage_slaves_numbers__imp_num_female_landed	IntegerField	Imputed number of females landed FEML3IMP
voyage_slaves_numbers__total_slaves_landed_age_identified	IntegerField	Total slaves identified by age among landed slaves SLAVEMA3
voyage_slaves_numbers__total_slaves_landed_gender_identified	IntegerField	Total slaves identified by gender among landed slaves SLAVEMX3
voyage_slaves_numbers__total_slaves_dept_or_arr_age_identified	IntegerField	Total slaves identified by age at departure or arrival SLAVEMA7
voyage_slaves_numbers__total_slaves_dept_or_arr_gender_identified	IntegerField	Total slaves identified by gender at departure or arrivalSLAVEMX7
voyage_slaves_numbers__imp_slaves_embarked_for_mortality	IntegerField	Imputed number of slaves embarked for mortality calculation TSLMTIMP
voyage_slaves_numbers__imp_num_men_total	IntegerField	Number of men MEN7
voyage_slaves_numbers__imp_num_women_total	IntegerField	Number of women WOMEN7
voyage_slaves_numbers__imp_num_boy_total	IntegerField	Number of boys BOY7
voyage_slaves_numbers__imp_num_girl_total	IntegerField	Number of girls GIRL7
voyage_slaves_numbers__imp_num_adult_total	IntegerField	Number of adults gender unspecified ADULT7
voyage_slaves_numbers__imp_num_child_total	IntegerField	Number of children gender unspecified CHILD7
voyage_slaves_numbers__imp_num_males_total	IntegerField	Number of males age unspecified MALE7
voyage_slaves_numbers__imp_num_females_total	IntegerField	Number of females age unspecified FEMALE7
voyage_slaves_numbers__total_slaves_embarked_age_gender_identified	IntegerField	Total slaves embarked wi th age and gender identified SLAVMAX1
voyage_slaves_numbers__total_slaves_by_age_gender_identified_among_landed	IntegerField	Total slaves identified by age and gender among landed SLAVMAX3
voyage_slaves_numbers__total_slaves_by_age_gender_identified_departure_or_arrival	IntegerField	Total slaves identified by age and gender at departure or arrival SLAVMAX7
voyage_itinerary__slave_deaths_before_africa	IntegerField	Slaves death before leaving Africa SLADAFRI
voyage_itinerary__slave_deaths_between_africa_america	IntegerField	Slaves death between Africa and Americas SLADVOY
voyage_itinerary__slave_deaths_between_arrival_and_sale	IntegerField	Slaves death before arrival and sale SLADAMER
voyage_itinerary__num_slaves_intended_first_port	IntegerField	Number of slaves intended from first port of purchase SLINTEND
voyage_itinerary__num_slaves_intended_second_port	IntegerField	Number of slaves intended from second port of purchase SLINTEN2
voyage_itinerary__num_slaves_carried_first_port	IntegerField	Number of slaves carried from first port of purchase NCAR13
voyage_itinerary__num_slaves_carried_second_port	IntegerField	Number of slaves carried from second port of purchase NCAR15
voyage_itinerary__num_slaves_carried_third_port	IntegerField	Number of slaves carried from third port of purchase NCAR17
voyage_itinerary__total_num_slaves_purchased	IntegerField	Total slaves purchased TSLAVESP
voyage_itinerary__total_num_slaves_dep_last_slaving_port	IntegerField	Total slaves on board at departure from last slaving port TSLAVESD
voyage_itinerary__total_num_slaves_arr_first_port_embark	IntegerField	Total slaves arrived at first port of disembarkation SLAARRIV
voyage_itinerary__num_slaves_disembark_first_place	IntegerField	Number of slaves disembarked at first place SLAS32
voyage_itinerary__num_slaves_disembark_second_place	IntegerField	Number of slaves disembarked at second place SLAS36
voyage_itinerary__num_slaves_disembark_third_place	IntegerField	Number of slaves disembarked at third place SLAS39
voyage_itinerary__imp_total_num_slaves_embarked	IntegerField	Total slaves embarked imputed * slaximp
voyage_itinerary__imp_total_num_slaves_disembarked	IntegerField	Total slaves disembarked imputed * SLAMIMP
voyage_itinerary__imp_mortality_during_voyage	IntegerField	Imputed number of slave deaths during Middle Passage VYMRTIMP
voyage_itinerary__num_men_embark_first_port_purchase	IntegerField	Number of men MEN1 embarked at first port of purchase
voyage_itinerary__num_women_embark_first_port_purchase	IntegerField	Number of women WOMEN1 embarked at first port of purchase
voyage_itinerary__num_boy_embark_first_port_purchase	IntegerField	Number of boys BOY1 embarked at first port of purchase
voyage_itinerary__num_girl_embark_first_port_purchase	IntegerField	Number of girls GIRL1 embarked at first port of purchase
voyage_itinerary__num_adult_embark_first_port_purchase	IntegerField	Number of adults gender unspecified ADULT1 embarked at first port of purchase
voyage_itinerary__num_child_embark_first_port_purchase	IntegerField	Number of children gender unspecified CHILD1 embarked at first port of purchase
voyage_itinerary__num_infant_embark_first_port_purchase	IntegerField	Number of infants INFANT1 embarked at first port of purchase
voyage_itinerary__num_males_embark_first_port_purchase	IntegerField	Number of males age unspecified MALE1 embarked at first port of purchase
voyage_itinerary__num_females_embark_first_port_purchase	IntegerField	Number of females age unspecified FEMALE1 embarked at first port of purchase
voyage_itinerary__num_men_died_middle_passage	IntegerField	Number of men MEN2 died on Middle Passage
voyage_itinerary__num_women_died_middle_passage	IntegerField	Number of women WOMEN2 died on Middle Passage
voyage_itinerary__num_boy_died_middle_passage	IntegerField	Number of boys BOY2 died on Middle Passage
voyage_itinerary__num_girl_died_middle_passage	IntegerField	Number of girls GIRL2 died on Middle Passage
voyage_itinerary__num_adult_died_middle_passage	IntegerField	Number of adults gender unspecified ADULT2 died on Middle Passage
voyage_itinerary__num_child_died_middle_passage	IntegerField	Number of children gender unspecified CHILD2 died on Middle Passage
voyage_itinerary__num_infant_died_middle_passage	IntegerField	Number of infants INFANT2 died on Middle Passage
voyage_itinerary__num_males_died_middle_passage	IntegerField	Number of males age unspecified MALE2 died on Middle Passage
voyage_itinerary__num_females_died_middle_passage	IntegerField	Number of females age unspecified FEMALE2 died on Middle Passage
voyage_itinerary__num_men_disembark_first_landing	IntegerField	Number of men MEN3 disembarked at first place of landing
voyage_itinerary__num_women_disembark_first_landing	IntegerField	Number of women WOMEN3 disembarked at first place of landing
voyage_itinerary__num_boy_disembark_first_landing	IntegerField	Number of boys BOY3 disembarked at first place of landing
voyage_itinerary__num_girl_disembark_first_landing	IntegerField	Number of girls GIRL3 disembarked at first place of landing
voyage_itinerary__num_adult_disembark_first_landing	IntegerField	Number of adults gender unspecified ADULT3 disembarked at first place of landing
voyage_itinerary__num_child_disembark_first_landing	IntegerField	Number of children gender unspecified CHILD3 disembarked at first place of landing
voyage_itinerary__num_infant_disembark_first_landing	IntegerField	Number of infants INFANT3 disembarked at first place of landing
voyage_itinerary__num_males_disembark_first_landing	IntegerField	Number of males age unspecified MALE3 disembarked at first place of landing
voyage_itinerary__num_females_disembark_first_landing	IntegerField	Number of females age unspecified FEMALE3 disembarked at first place of landing
voyage_itinerary__num_men_embark_second_port_purchase	IntegerField	Number of men MEN4 embarked at second port of purchase
voyage_itinerary__num_women_embark_second_port_purchase	IntegerField	Number of women WOMEN4 embarked at second port of purchase
voyage_itinerary__num_boy_embark_second_port_purchase	IntegerField	Number of boys BOY4 embarked at second port of purchase
voyage_itinerary__num_girl_embark_second_port_purchase	IntegerField	Number of girls GIRL4 embarked at second port of purchase
voyage_itinerary__num_adult_embark_second_port_purchase	IntegerField	Number of adults gender unspecified ADULT4 embarked at second port of purchase
voyage_itinerary__num_child_embark_second_port_purchase	IntegerField	Number of children gender unspecified CHILD4 embarked at second port of purchase
voyage_itinerary__num_infant_embark_second_port_purchase	IntegerField	Number of infants INFANT4 embarked at second port of purchase
voyage_itinerary__num_males_embark_second_port_purchase	IntegerField	Number of males age unspecified MALE4 embarked at second port of purchase
voyage_itinerary__num_females_embark_second_port_purchase	IntegerField	Number of females age unspecified FEMALE4 embarked at second port of purchase
voyage_itinerary__num_men_embark_third_port_purchase	IntegerField	Number of men MEN5 embarked at third port of purchase
voyage_itinerary__num_women_embark_third_port_purchase	IntegerField	Number of women WOMEN5 embarked at third port of purchase
voyage_itinerary__num_boy_embark_third_port_purchase	IntegerField	Number of boys BOY5 embarked at third port of purchase
voyage_itinerary__num_girl_embark_third_port_purchase	IntegerField	Number of girls GIRL5 embarked at third port of purchase
voyage_itinerary__num_adult_embark_third_port_purchase	IntegerField	Number of adults gender unspecified ADULT5 embarked at third port of purchase
voyage_itinerary__num_child_embark_third_port_purchase	IntegerField	Number of children gender unspecified CHILD5 embarked at third port of purchase
voyage_itinerary__num_infant_embark_third_port_purchase	IntegerField	Number of infants INFANT5 embarked at third port of purchase
voyage_itinerary__num_males_embark_third_port_purchase	IntegerField	Number of males age unspecified MALE5 embarked at third port of purchase
voyage_itinerary__num_females_embark_third_port_purchase	IntegerField	Number of females age unspecified FEMALE5 embarked at third port of purchase
voyage_itinerary__num_men_disembark_second_landing	IntegerField	Number of men MEN6 disembarked at second place of landing
voyage_itinerary__num_women_disembark_second_landing	IntegerField	Number of women WOMEN6 disembarked at second place of landing
voyage_itinerary__num_boy_disembark_second_landing	IntegerField	Number of boys BOY6 disembarked at second place of landing
voyage_itinerary__num_girl_disembark_second_landing	IntegerField	Number of girls GIRL6 disembarked at second place of landing
voyage_itinerary__num_adult_disembark_second_landing	IntegerField	Number of adults gender unspecified ADULT6 disembarked at second place of landing
voyage_itinerary__num_child_disembark_second_landing	IntegerField	Number of children gender unspecified CHILD6 disembarked at second place of landing
voyage_itinerary__num_infant_disembark_second_landing	IntegerField	Number of infants INFANT6 disembarked at second place of landing
voyage_itinerary__num_males_disembark_second_landing	IntegerField	Number of males age unspecified MALE6 disembarked at second place of landing
voyage_itinerary__num_females_disembark_second_landing	IntegerField	Number of females age unspecified FEMALE6 disembarked at second place of landing
voyage_itinerary__imp_num_adult_embarked	IntegerField	Imputed number of adults embarked ADLT1IMP
voyage_itinerary__imp_num_children_embarked	IntegerField	Imputed number of adults embarked CHIL1IMP
voyage_itinerary__imp_num_male_embarked	IntegerField	Imputed number of males embarked MALE1IMP
voyage_itinerary__imp_num_female_embarked	IntegerField	Imputed number of females embarked FEML1IMP
voyage_itinerary__total_slaves_embarked_age_identified	IntegerField	Total slaves embarked with age identified SLAVEMA1
voyage_itinerary__total_slaves_embarked_gender_identified	IntegerField	Total slaves embarked with gender identified SLAVEMX1
voyage_itinerary__imp_adult_death_middle_passage	IntegerField	Imputed number of adults who died on Middle Passage ADLT2IMP
voyage_itinerary__imp_child_death_middle_passage	IntegerField	Imputed number of children who died on Middle Passage CHIL2IMP
voyage_itinerary__imp_male_death_middle_passage	IntegerField	Imputed number of males who died on Middle Passage MALE2IMP
voyage_itinerary__imp_female_death_middle_passage	IntegerField	Imputed number of females who died on Middle Passage FEML2IMP
voyage_itinerary__imp_num_adult_landed	IntegerField	Imputed number of adults landed ADLT3IMP
voyage_itinerary__imp_num_child_landed	IntegerField	Imputed number of children landed CHIL3IMP
voyage_itinerary__imp_num_male_landed	IntegerField	Imputed number of males landed MALE3IMP
voyage_itinerary__imp_num_female_landed	IntegerField	Imputed number of females landed FEML3IMP
voyage_itinerary__total_slaves_landed_age_identified	IntegerField	Total slaves identified by age among landed slaves SLAVEMA3
voyage_itinerary__total_slaves_landed_gender_identified	IntegerField	Total slaves identified by gender among landed slaves SLAVEMX3
voyage_itinerary__total_slaves_dept_or_arr_age_identified	IntegerField	Total slaves identified by age at departure or arrival SLAVEMA7
voyage_itinerary__total_slaves_dept_or_arr_gender_identified	IntegerField	Total slaves identified by gender at departure or arrivalSLAVEMX7
voyage_itinerary__imp_slaves_embarked_for_mortality	IntegerField	Imputed number of slaves embarked for mortality calculation TSLMTIMP
voyage_itinerary__imp_num_men_total	IntegerField	Number of men MEN7
voyage_itinerary__imp_num_women_total	IntegerField	Number of women WOMEN7
voyage_itinerary__imp_num_boy_total	IntegerField	Number of boys BOY7
voyage_itinerary__imp_num_girl_total	IntegerField	Number of girls GIRL7
voyage_itinerary__imp_num_adult_total	IntegerField	Number of adults gender unspecified ADULT7
voyage_itinerary__imp_num_child_total	IntegerField	Number of children gender unspecified CHILD7
voyage_itinerary__imp_num_males_total	IntegerField	Number of males age unspecified MALE7
voyage_itinerary__imp_num_females_total	IntegerField	Number of females age unspecified FEMALE7
voyage_itinerary__total_slaves_embarked_age_gender_identified	IntegerField	Total slaves embarked wi th age and gender identified SLAVMAX1
voyage_itinerary__total_slaves_by_age_gender_identified_among_landed	IntegerField	Total slaves identified by age and gender among landed SLAVMAX3
voyage_itinerary__total_slaves_by_age_gender_identified_departure_or_arrival	IntegerField	Total slaves identified by age and gender at departure or arrival SLAVMAX7
voyage_crew__crew_died_on_return_voyage	IntegerField	Crew died on return voyage
voyage_ship__nationality_ship	PrimaryKeyRelatedField	Ship Nationality
voyage_ship__ton_type	PrimaryKeyRelatedField	Type of Tonnage
voyage_ship__vessel_construction_place	PrimaryKeyRelatedField	Place where vessel constructed
voyage_ship__vessel_construction_region	PrimaryKeyRelatedField	Region where vessel constructed
voyage_ship__registered_place	PrimaryKeyRelatedField	Place where vessel registered
voyage_ship__registered_region	PrimaryKeyRelatedField	Region where vessel registered